review_id,author_name,author_url,rating,date,text,local_guide,likes,images
Ci9DQUlRQUNvZENodHljRjlvT2toS2FsbEljazVDVW1SbllqVk9kVUV0Tm1aNExYYxAB,Ahsan Farooq,,5.0,,Great place great people. Stayed twice recently check in was smooth handed us keys before settling room price. Staff was very friendly and helpful to move stuff in and out of the building. Had security guard watching our cars parked outside of the building. Check in around evening time person on reception desk was very nice and friendly will definitely recommend. ☺️,,0,https://lh3.googleusercontent.com/a/ACg8ocJheZYP6Kpw7KCihi9HXzBanpAVE0P_YysMSnhx90DxmJMUcA=s800
Ci9DQUlRQUNvZENodHljRjlvT21aMU1YRndhbEYxYVdwM01tSmFkR0pwTldOS1owRRAB,J Morrow,,3.0,,"This Hotel is interesting. All of the front desk staff, the bellboys, security, and the owner were very accommodating to me and I appreciate them very much. Unfortunately as an American traveller, the inconsistent wifi (strong when it was working but not always working) and the power going out multiple times a day (no tv, had to charge phone in the hotel lobby) was completely unacceptable. Hot water for showers is not available until after 7pm.

The room was clean, furniture was nice. The price is very very cheap. If they can get their wifi and power situation under control, I will give this hotel 10 stars.",,0,https://lh3.googleusercontent.com/a-/ALV-UjVIk2o5YMSI7BsBo_4RLYtE9aAEnKEMgkSi1QIvQ19Wc2Jp9TI=s800
Ci9DQUlRQUNvZENodHljRjlvT21ablYxSjBhbEpGVGxKM1UyRnZURGhKVW05aWNHYxAB,Abdulrahim Javaid,,1.0,,"I checked in at Redline Hotel on 5 February at 11:00 PM for one night. My stay was extremely unpleasant due to continuous loud noise from the lobby at 3:00 AM, followed again at 7:30 AM, caused by staff speaking loudly with no regard for guests.

When I contacted reception, they denied any noise. I then went to the desk and requested the manager, but was told the manager was unavailable. The staff were unprofessional, dismissive, and unwilling to take responsibility, insisting the customer was wrong.

This hotel failed to provide basic comfort, quiet, and professional service. I do not recommend it.",,0,https://lh3.googleusercontent.com/a/ACg8ocIx6ED6iFgV6NeEfklSkSMOcn5wiWbtRiTcJbNO85-5P6FrZg=s800
Ci9DQUlRQUNvZENodHljRjlvT21WRFJrSlBiVFEyT1dWcFh6Rm9Temx4WVVwNlFrRRAB,Arslan munir,,5.0,,"I spent a really good time at this hotel.
The ambiance is great and very welcoming.
Rooms are clean, spacious, and comfortable.
There’s no noise pollution, which made it very relaxing.
Overall, it was a peaceful and enjoyable stay.",,0,https://lh3.googleusercontent.com/a-/ALV-UjUkNNdypBPH1sTF-dSrCVQvi-QKMnSOXqBWmfuypqbqLJ4qS5xw=s800
ChZDSUhNMG9nS0VJQ0FnTUNvMG9MNFBREAE,Saqib Shahzad,,5.0,,"I had a great stay at Hotel Red Line last year in summer. When I traveled to Pakistan and Iam  planing once again to stay here while i will travel to Pakistan next month .The room was clean and cozy, and the staff was super friendly and helpful. Definitely good value for the price!
Only thing about parking . Not so much space for parking.",,0,https://lh3.googleusercontent.com/a/ACg8ocILZ790m2X7fCgx8l3-1o3x7_DoRXrJNb-bqAECP69K2i8vcQ=s800
ChZDSUhNMG9nS0VJQ0FnTURvcDVqX2N3EAE,Hasan Khan,,2.0,,"I recently stayed at this hotel and now i am sharing my personal feedback firstly the room was very clean more than my expectations washroom were neat & clean but the main point to be focused is staff
Staff is very unprofessional and unaware of hospitality industry they don't even know how to deal with a guest especially the man standing on reception at night he was very pathetic and rude and his communication skills zero.kindly change this staff and hire some professional bcz this will damage your position in hospitality industry.dont take my feedback personally i just share my experience that i having with redline hotel I am just highlighting the things that should be corrected",,0,https://lh3.googleusercontent.com/a/ACg8ocLStX579TheIK7DthPAkISXXRToRU74bBctXn0LBzSkCl3SGw=s800
Ci9DQUlRQUNvZENodHljRjlvT2tkSU5HbEVNMFJZZFRGNWMwZGhVSGx1YlZSTlZVRRAB,Kais,,4.0,,"Overall good to stay and below is summary
Rooms : Pillows,blanket dirty: 5/10
Location : Average 6.5/10
Service : Good 7.4/10
Single King bed stay rate : 7K  Per night , quite high as per facilities
They provided water with charge on me
Shampoo and soap available in WR
Wifi Ok to reach",,0,https://lh3.googleusercontent.com/a-/ALV-UjW6cJGw1H4Zy7R0ae-ZXdC5x1zlb52tMCXqNoR4pzTPf6l24h8=s800
Ci9DQUlRQUNvZENodHljRjlvT2toU2NUVkhWRVpRUkRGcmEwZHJabVJoUTI1WVNFRRAB,Mehvish jabeen (Mehvish Jabeen),,1.0,,worst service.phly  hm ny online booking ki jab gy waha tu 7000 nae 25000 hm sy magy. i will not recommend anyone.beware ‼️,,0,https://lh3.googleusercontent.com/a-/ALV-UjWv4bSVQh9RzW0Ww8fL5UwblTAHWpnZPBriLw8-APFUbpkJsD51=s800
Ci9DQUlRQUNvZENodHljRjlvT2pWemIzUTBjVEJNTFhBd1FYcHRTMDE0YnpGUU9VRRAB,Sumaiyaa zeeshan,,4.0,,We had great experience at hotel redline. After ling train journey. Food was ready when we reached at hotel bcz we already ordered. Food taste was average. Rooms was clean and cozy. Washrooms were clean. Hot water wwas available. Wifi was working. Ac was working .Safe enviornment. Overall good stay. We just stayed for one night before heading forward to north areas.,,0,https://lh3.googleusercontent.com/a-/ALV-UjUDxggSa2Crm40NtxaEmwS0i6lFOaahqiErR-KYzxqzKvlG9Z0=s800
ChZDSUhNMG9nS0VJQ0FnSURmdVp5X2J3EAE,TECHNICAL SERVICES EST EST,,1.0,,"I recently stayed at redline hotel and wanted to share some feedback. While I appreciated the good breakfast and comfortable room temperature, I was disappointed with certain aspects of my stay.

Cleanliness: The room service and cleaning were below expectations. There was a persistent bad smell in the bathrooms, and during the morning cleaning of other rooms, the corridors were filled with an unpleasant odor. Washrooms were not tidy as well.

I hope you can address these concerns to improve the experience for future guests.",,0,https://lh3.googleusercontent.com/a/ACg8ocKnqyINP5IC3nUKHOjqHyHF_uTi0TTA1o3QwNoMjHPd3wYd=s800
ChZDSUhNMG9nS0VJQ0FnSURYak9mWVRnEAE,Shah Abdul Latif Hse Consultant,,5.0,,"Hotel Red Line is a modern hospitality establishment known for its blend of comfort and convenience. Located strategically in a vibrant area, it caters to both business and leisure travelers. The hotel features well-appointed rooms equipped with modern amenities, ensuring a relaxing stay. Guests can enjoy a variety of services, including a restaurant offering diverse cuisine, a fitness center, and meeting facilities. The attentive staff is dedicated to providing exceptional service, creating a welcoming atmosphere. With its commitment to quality and customer satisfaction, Hotel Red Line has established itself as a preferred choice for visitors seeking a memorable experience.",,0,https://lh3.googleusercontent.com/a-/ALV-UjVUG59oixW_Cx-DqCsNE7oeQ8Rr5NHs_xOk42Xaa_X0FNLNGZRVTA=s800
ChZDSUhNMG9nS0VKUFQtN3o1MHU2M1pnEAE,Sherry Pervez,,4.0,,"Things were pretty nice the rooms were Great and so was the cleanliness
But their billing structure for mini bar sucks
I was pushed to pay double for the coke cans which I already paid in advanced my mood got spoil due to miscommunication between waiter and receptionist
Neways just check the bills properly to avoid any issues",,0,https://lh3.googleusercontent.com/a/ACg8ocLG1TX_FQRSUwB1pxR9A-F42mZSLgA-Pyk7Mc8sqZ70KQ4WpQ=s800
ChZDSUhNMG9nS0VJQ0FnSUMzanEzaFdnEAE,Talha Qadeer,,5.0,,"I booked 2 rooms in Redline hotel on my recent visit to Islamabad with family. My experience was amazingly so good with hotel and their staff. I was in contact with their owner and shift manager throughout the entire booking process and trust me their dealing made it so easier.
While my stay time there, i felt secure within and even outside the hotel premises.
Staff was available 24/7 and always ready to serve in case of any request from ourside.
Good thing about hotel is that it is near to Motorway approach, so it is a good spot for travelers to stay there.
Food was cooked with heart. Breakfast was good though.
Overall i am very satisfied and highly recommended facility.",,0,https://lh3.googleusercontent.com/a-/ALV-UjVI424yi0ZZLA9injfHeX35zvCMP1YnPDZas3JItD6h5Xz6Rxu2ZA=s800
ChdDSUhNMG9nS0VJQ0FnSUNOcjgzRnpnRRAB,Asob Ndbdksh,,5.0,,"I checked out the Red Line Hotel and let me tell you, it's 🔥! The moment you step into the lobby, you're greeted with a vibrant and modern atmosphere. The staff is super friendly and always ready to assist you with a big smile. The rooms are cozy and stylishly decorated, making you feel right at home.

One of the highlights of the hotel is the rooftop pool. It offers breathtaking views of the city skyline, and it's the perfect spot to relax and soak up the sun. And if you're a foodie like me, you'll be thrilled with the delicious options at the hotel's restaurant. From mouthwatering breakfasts to gourmet dinners, they've got it all covered.

The location is also a major plus. Situated in the heart of the city, you'll find yourself just steps away from the best attractions, shops, and restaurants. It's so convenient!

Overall, I would definitely recommend the Red Line Hotel for an amazing stay. It's a combination of comfort, style, and great service. I hope you get the chance to experience it yourself! 😄🏨",,0,https://lh3.googleusercontent.com/a/ACg8ocKOjjmBVblEr2JLtOHJGScAYOOYO-7zrFwkBmI3XOEFYBVbvQ=s800
ChZDSUhNMG9nS0VJQ0FnSURmNktTRUJREAE,Its A Leo Thing.,,1.0,,"I booked a room at Hotel Red Line for a 1-night emergency stay with my family after seeing it on Booking.com, where the price was listed as 6,000 to 7,000 per night. However, when I arrived, the bearded manager at the counter charged me 8,200, claiming it was a ""discounted price.""

I was given a standard room, but the manager insisted it was a deluxe room, which seemed like an attempt to overcharge me. The overall experience was disappointing, and one of the staff members made an inappropriate comment, which added to the discomfort.

I would not recommend this hotel, especially for emergency stays, as it felt unprofessional and unwelcoming.",,1,https://lh3.googleusercontent.com/a-/ALV-UjVb2Nmo6uozI2fQ9O6fvhNM0PJJgcWpcEnb6hS97ZLjp84FeTQU=s800
ChZDSUhNMG9nS0VJQ0FnSUNOczltWlRBEAE,Sameer Memon (SAM),,5.0,,"I have gone to many spots, yet the red line lodging excellent Help and the taste is exceptional. The sitting spot is extremely slick and clean. Administration is speedy and the staff is cordial. You won't lament your choice to visit the Red line lodging. Truly sensible costs. I will give it 4.5 stars, which is one of the most mind-blowing choices to go for.",,0,https://lh3.googleusercontent.com/a-/ALV-UjXZ5C28GEmsAlsEda0pQPvJ_WiY39SuIrpgnIMe71jM2E2Gvvpqsg=s800
ChdDSUhNMG9nS0VJQ0FnSURWekxDazdnRRAB,Mn Shahzad,,5.0,,"I stayed here for almost 3 days. It was truly a pleasure to stay in this environment in Pakistan. Due to my business, I have traveled to many cities and countries around the world and stayed in numerous hotels in both big and small areas. However, in Pakistan, where hotel management is generally not very good and the food quality varies, I would still suggest everyone stay here because the environment, food, cleanliness, and rooms are truly exceptional. I really appreciate the management team. Thank you so much for making my stay so comfortable.",,2,https://lh3.googleusercontent.com/a-/ALV-UjVWOS_XU9V4h6gbhn6kH0IRGnpvoP6ZYVh6z0xnAB60OuxnjLt-tA=s800
ChZDSUhNMG9nS0VJQ0FnSUNOdi16SVh3EAE,Farhan Hussain,,5.0,,"The rooms were clean and comfortable, with everything I needed for a relaxing stay.
The staff was friendly and helpful, always going out of their way to make sure I had a great experience.
The location was perfect, close to all the attractions I wanted to see.
I would definitely recommend Hotel Red Line to anyone looking for a great place to stay in Islamabad.",,0,https://lh3.googleusercontent.com/a-/ALV-UjXI9EIpnPFgv7coQyVGtaXW0lR4TcE2Sk6pyI-l2qPhnysau_Q=s800
Ci9DQUlRQUNvZENodHljRjlvT210dU1WazBiV2Q0TjJSNWNuZzNTRFV6TTBodmFtYxAB,asad qayyum,,1.0,,"poor coordination between staff, Don't have proper billing records, room service is good buy not like so called 3 star hotel",,0,https://lh3.googleusercontent.com/a-/ALV-UjWOM1gmXinxIeFlPUypaqhkCRC4_WksXQ7D7KF32lr52XpvSTph=s800
ChdDSUhNMG9nS0VJQ0FnSURIMHJ1RDhRRRAB,Muhammad Umer Shaikh,,5.0,,"I recently had the pleasure of staying at the Red Line Hotel in Islamabad with a group of clients, and I must say, the experience was outstanding. The hotel provided excellent service, and the facilities were top-notch. A special mention goes to Tariq sahab, the hotel owner, whose dedication and hospitality made our stay truly memorable. My clients and I were thoroughly satisfied with our time at the Red Line Hotel and would highly recommend it to anyone visiting Islamabad.",,0,https://lh3.googleusercontent.com/a-/ALV-UjX3EylykJowuSg2Y9ThtgM-WC5Q9HgipLX5JTrj9x5LytalQ67h=s800
